iter	Passed	Remaining
0	133	133759
1	135	67729
2	137	45681
3	138	34582
4	140	27938
5	141	23496
6	143	20323
7	144	17942
8	146	16096
9	147	14611
10	149	13403
11	150	12399
12	152	11543
13	153	10808
14	154	10171
15	156	9613
16	157	9120
17	159	8682
18	160	8290
19	161	7935
20	163	7614
21	164	7329
22	166	7063
23	167	6817
24	169	6591
25	170	6383
26	171	6189
27	173	6009
28	174	5842
29	175	5685
30	177	5540
31	178	5409
32	180	5281
33	181	5160
34	183	5045
35	184	4936
36	185	4834
37	187	4738
38	188	4652
39	189	4559
40	191	4471
41	192	4387
42	193	4305
43	194	4228
44	195	4154
45	196	4084
46	198	4016
47	199	3952
48	200	3889
49	201	3828
50	202	3771
51	203	3716
52	205	3663
53	206	3612
54	207	3562
55	208	3515
56	209	3469
57	210	3424
58	211	3380
59	213	3338
60	214	3296
61	215	3256
62	216	3218
63	217	3184
64	219	3153
65	220	3120
66	221	3089
67	222	3049
68	223	3019
69	225	2991
70	226	2963
71	227	2936
72	229	2909
73	230	2883
74	231	2858
75	232	2831
76	234	2805
77	235	2779
78	236	2754
79	237	2730
80	238	2706
81	239	2683
82	240	2660
83	241	2637
84	242	2611
85	243	2590
86	244	2565
87	245	2545
88	246	2525
89	247	2506
90	249	2487
91	250	2468
92	251	2450
93	252	2432
94	253	2414
95	254	2397
96	255	2380
97	256	2363
98	257	2347
99	259	2331
100	260	2317
101	260	2297
102	262	2283
103	263	2268
104	264	2254
105	265	2240
106	266	2225
107	267	2212
108	268	2198
109	270	2185
110	271	2172
111	272	2159
112	273	2146
113	274	2134
114	275	2121
115	276	2107
116	277	2095
117	278	2083
118	279	2071
119	281	2062
120	282	2052
121	283	2042
122	284	2028
123	285	2019
124	287	2009
125	288	2000
126	289	1992
127	290	1979
128	291	1971
129	293	1962
130	294	1954
131	295	1945
132	297	1937
133	298	1930
134	300	1923
135	301	1916
136	303	1909
137	304	1900
138	305	1892
139	306	1884
140	308	1877
141	309	1869
142	310	1862
143	312	1855
144	313	1848
145	314	1841
146	316	1834
147	317	1827
148	318	1821
149	320	1814
150	321	1808
151	322	1801
152	324	1794
153	325	1788
154	326	1781
155	328	1775
156	329	1768
157	330	1762
158	332	1756
159	333	1750
160	334	1744
161	336	1738
162	337	1732
163	338	1726
164	340	1721
165	341	1715
166	342	1709
167	344	1703
168	345	1697
169	346	1690
170	347	1685
171	348	1679
172	350	1674
173	351	1668
174	352	1663
175	354	1659
176	356	1655
177	357	1650
178	358	1645
179	359	1639
180	360	1631
181	361	1626
182	363	1621
183	364	1616
184	365	1611
185	367	1606
186	368	1601
187	369	1597
188	371	1592
189	372	1589
190	374	1586
191	375	1582
192	377	1577
193	378	1573
194	380	1569
195	381	1565
196	382	1560
197	384	1556
198	385	1552
199	386	1547
200	388	1543
201	389	1539
202	390	1534
203	392	1530
204	393	1526
205	394	1521
206	395	1516
207	396	1511
208	398	1506
209	399	1502
210	401	1502
211	404	1504
212	406	1501
213	407	1498
214	410	1497
215	411	1494
216	413	1492
217	415	1488
218	416	1485
219	417	1481
220	419	1477
221	420	1473
222	421	1470
223	423	1466
224	424	1462
225	425	1458
226	427	1454
227	428	1451
228	429	1447
229	431	1443
230	432	1440
231	433	1436
232	435	1433
233	436	1429
234	438	1426
235	439	1422
236	440	1418
237	441	1414
238	443	1410
239	444	1406
240	445	1402
241	446	1398
242	447	1394
243	449	1391
244	450	1388
245	451	1384
246	453	1381
247	454	1377
248	455	1374
249	456	1370
250	458	1366
251	459	1362
252	460	1358
253	461	1354
254	462	1350
255	463	1346
256	464	1343
257	465	1339
258	466	1335
259	467	1331
260	469	1328
261	470	1324
262	471	1320
263	472	1317
264	473	1313
265	475	1311
266	476	1308
267	478	1306
268	479	1303
269	481	1301
270	483	1299
271	484	1297
272	486	1294
273	487	1292
274	489	1289
275	490	1287
276	492	1285
277	494	1283
278	495	1279
279	496	1276
280	497	1272
281	498	1269
282	499	1265
283	500	1262
284	501	1258
285	503	1255
286	504	1253
287	505	1250
288	507	1247
289	508	1244
290	509	1242
291	511	1239
292	512	1236
293	513	1232
294	514	1229
295	515	1226
296	516	1223
297	517	1220
298	519	1216
299	520	1214
300	522	1212
301	523	1210
302	525	1208
303	526	1206
304	528	1203
305	530	1202
306	531	1200
307	533	1198
308	534	1195
309	536	1193
310	537	1190
311	538	1188
312	540	1185
313	541	1183
314	542	1180
315	544	1178
316	545	1176
317	547	1173
318	549	1172
319	550	1169
320	551	1166
321	552	1163
322	553	1160
323	554	1157
324	555	1154
325	557	1151
326	558	1149
327	559	1146
328	560	1143
329	561	1140
330	562	1137
331	564	1135
332	565	1132
333	567	1130
334	568	1129
335	570	1126
336	571	1124
337	572	1122
338	574	1119
339	575	1117
340	577	1115
341	578	1112
342	579	1110
343	581	1108
344	582	1105
345	584	1104
346	585	1102
347	587	1100
348	588	1097
349	589	1095
350	591	1093
351	592	1090
352	593	1088
353	595	1086
354	596	1083
355	597	1080
356	598	1078
357	599	1075
358	600	1073
359	602	1070
360	603	1068
361	605	1066
362	606	1064
363	608	1062
364	609	1060
365	610	1058
366	612	1056
367	613	1054
368	615	1051
369	616	1049
370	617	1047
371	619	1045
372	620	1043
373	621	1041
374	623	1039
375	624	1037
376	626	1034
377	627	1032
378	628	1030
379	630	1028
380	631	1025
381	632	1022
382	633	1020
383	634	1017
384	635	1014
385	636	1012
386	637	1009
387	638	1006
388	639	1004
389	640	1001
390	641	999
391	642	996
392	643	994
393	644	991
394	645	989
395	646	986
396	648	984
397	649	982
398	650	979
399	651	976
400	652	974
401	653	972
402	654	969
403	655	967
404	656	964
405	657	962
406	659	960
407	660	958
408	661	956
409	663	954
410	664	951
411	665	949
412	667	948
413	668	946
414	669	944
415	671	942
416	672	940
417	673	938
418	675	935
419	676	934
420	678	932
421	679	930
422	680	928
423	681	926
424	683	924
425	684	921
