iter	Passed	Remaining
0	192	192712
1	198	98890
2	199	66347
3	206	51521
4	208	41459
5	209	34696
6	210	29861
7	211	26228
8	213	23466
9	214	21187
10	215	19333
11	218	18025
12	220	16733
13	221	15598
14	223	14647
15	225	13869
16	226	13101
17	227	12409
18	228	11791
19	229	11241
20	230	10739
21	231	10293
22	232	9879
23	233	9494
24	235	9166
25	237	8907
26	238	8601
27	239	8315
28	240	8050
29	241	7801
30	242	7569
31	243	7368
32	244	7170
33	245	6977
34	246	6806
35	248	6643
36	249	6489
37	250	6335
38	251	6188
39	252	6053
40	253	5929
41	256	5859
42	258	5756
43	259	5648
44	260	5536
45	261	5429
46	262	5326
47	263	5227
48	264	5133
49	269	5112
50	270	5025
51	271	4941
52	274	4909
53	275	4833
54	277	4760
55	277	4686
56	278	4612
57	279	4542
58	283	4527
59	284	4461
60	285	4397
61	287	4354
62	289	4302
63	290	4248
64	291	4193
65	293	4159
66	302	4219
67	303	4165
68	305	4116
69	305	4065
70	306	4015
71	307	3967
72	308	3920
73	309	3874
74	314	3876
75	316	3847
76	318	3823
77	320	3786
78	321	3745
79	322	3704
80	323	3667
81	324	3628
82	324	3586
83	329	3590
84	330	3558
85	333	3547
86	335	3523
87	337	3501
88	339	3473
89	344	3480
90	345	3452
91	347	3432
92	349	3410
93	350	3381
94	352	3361
95	354	3334
96	357	3324
97	358	3302
98	360	3278
99	361	3257
100	363	3231
101	363	3204
102	364	3178
103	365	3152
104	366	3127
105	367	3101
106	368	3079
107	370	3056
108	372	3045
109	373	3025
110	374	3003
111	375	2980
112	376	2957
113	377	2936
114	378	2914
115	379	2893
116	380	2875
117	381	2854
118	383	2838
119	384	2820
120	385	2802
121	386	2784
122	388	2768
123	389	2752
124	391	2739
125	392	2722
126	393	2704
127	394	2686
128	395	2670
129	396	2653
130	397	2638
131	398	2622
132	399	2605
133	400	2589
134	401	2574
135	402	2558
136	403	2542
137	404	2526
138	405	2511
139	406	2496
140	407	2481
141	407	2465
142	409	2454
143	410	2440
144	411	2427
145	412	2413
146	413	2399
147	414	2386
148	416	2376
149	417	2365
150	418	2353
151	419	2340
152	420	2327
153	421	2314
154	422	2302
155	423	2289
156	424	2277
157	425	2266
158	426	2255
159	427	2246
160	428	2233
161	429	2222
162	430	2210
163	431	2199
164	432	2188
165	433	2177
166	434	2166
167	435	2155
168	436	2145
169	438	2140
170	439	2132
171	442	2129
172	443	2120
173	446	2121
174	448	2112
175	449	2104
176	450	2096
177	452	2089
178	453	2079
179	454	2070
180	455	2063
181	457	2053
182	458	2047
183	459	2038
184	460	2030
185	462	2022
186	463	2013
187	464	2004
188	466	2002
189	468	1996
190	469	1987
191	470	1979
192	471	1970
193	472	1962
194	473	1954
195	474	1947
196	476	1940
197	477	1932
198	490	1972
199	491	1965
200	492	1958
201	493	1950
202	498	1956
203	499	1948
204	500	1940
205	503	1939
206	506	1941
207	508	1934
208	513	1942
209	514	1937
210	518	1937
211	519	1931
212	520	1924
213	522	1918
214	530	1938
215	534	1940
216	535	1933
217	538	1931
218	551	1968
219	567	2012
220	569	2006
221	570	2000
222	572	1993
223	575	1993
224	577	1988
225	578	1982
226	589	2005
227	590	2000
228	592	1993
229	593	1986
230	595	1981
231	600	1989
232	604	1989
233	605	1983
234	607	1976
235	608	1969
236	609	1962
237	611	1956
238	615	1959
239	618	1959
240	621	1958
241	623	1952
242	624	1945
243	625	1938
244	628	1937
245	629	1930
246	631	1923
247	632	1919
248	638	1925
249	640	1921
250	649	1937
251	652	1938
252	654	1932
253	655	1925
254	656	1918
255	660	1918
256	662	1915
257	664	1909
258	667	1910
259	669	1904
260	670	1899
261	671	1892
262	675	1892
263	676	1886
264	677	1879
265	678	1872
266	681	1869
267	684	1870
268	686	1864
269	687	1857
270	691	1860
271	693	1855
272	697	1856
273	698	1851
274	699	1845
275	700	1838
276	701	1831
277	702	1824
278	705	1823
279	706	1817
280	707	1811
281	709	1805
282	710	1801
283	714	1802
284	717	1799
285	727	1815
286	729	1812
287	730	1807
288	732	1801
289	733	1795
290	734	1788
291	739	1792
292	740	1786
293	749	1799
294	754	1803
295	756	1798
296	764	1808
297	787	1855
298	794	1862
299	795	1856
300	798	1853
301	802	1854
302	803	1849
303	805	1843
304	813	1853
305	814	1848
306	824	1861
307	826	1857
308	828	1851
309	829	1846
310	835	1850
311	846	1867
312	856	1880
313	860	1879
314	862	1875
315	874	1893
316	877	1889
317	878	1884
318	883	1885
319	885	1880
320	895	1894
321	898	1891
322	900	1887
323	902	1883
324	906	1883
325	908	1877
326	909	1872
327	912	1869
328	916	1870
329	921	1871
330	931	1881
331	932	1876
332	933	1870
333	937	1870
334	939	1864
335	940	1858
336	942	1853
337	943	1848
338	946	1845
339	947	1839
340	948	1833
341	952	1831
342	953	1825
343	954	1819
344	955	1813
